Código de Serviço;Descrição do Serviço (TI-IDEAL);Serviço Correspondente (Tabela IR Fonte);% IR Fonte;Fundamento Legal;Sujeito à Retenção de IR?
01.08.02;confecção ou desenvolvimento de páginas eletrônicas;Informática - treinamento, consultoria, implantação e desenvolvimento de sistemas;1,50%;SC n° 75/2005 - 1° RF;SIM
01.08.03;manutenção e/ou atualização de páginas eletrônicas;Informática - treinamento, consultoria, implantação e desenvolvimento de sistemas;1,50%;SC n° 75/2005 - 1° RF;SIM
02.01.01;pesquisa e desenvolvimento (P&D);Pesquisa em geral;1,50%;art. 647 RIR/1999;SIM
02.01.02;pesquisa de mercado ou de opinião pública;Pesquisa em geral;1,50%;art. 647 RIR/1999;SIM
02.01.03;pesquisa de opinião pública;Pesquisa em geral;1,50%;art. 647 RIR/1999;SIM
02.01.04;pesquisa de mercado;Pesquisa em geral;1,50%;art. 647 RIR/1999;SIM
03.02.06;serviços prestados mediante locação, cessão de direito de uso e congêneres, não especificados em outros códigos, exceto locação de bens móveis pura e simples, nos termos da Instrução Normativa SMF N° 15, de 12/01/2012;Ensino;1,50%;art. 647 RIR/1999;SIM
04.01.01;medicina;Medicina (exceto ambulatório, banco de sangue, casa de saúde, casa de recuperação, hospital e pronto-socorro);1,50%;art. 647 RIR/1999;SIM
04.01.02;biomedicina;Biologia e biomedicina;1,50%;art. 647 RIR/1999;SIM
04.02.01;análises clínicas, patologia ou congênere;Análise clínica laboratorial;1,50%;art. 647 RIR/1999;SIM
04.02.03;radioterapia ou congênere;Radiologia e Radioterapia;1,50%;art. 647 RIR/1999;SIM
04.02.05;ultrassonografia, ressonância magnética, radiologia, tomografia ou congênere;Radiologia e Radioterapia;1,50%;art. 647 RIR/1999;SIM
04.05.01;acupuntura;Terapêutica ocupacional;1,50%;art. 647 RIR/1999;SIM
04.06.01;enfermagem;Medicina (exceto ambulatório, banco de sangue, casa de saúde, casa de recuperação, hospital e pronto-socorro);1,50%;art. 647 RIR/1999;SIM
04.06.02;enfermagem - serviços auxiliares;Medicina (exceto ambulatório, banco de sangue, casa de saúde, casa de recuperação, hospital e pronto-socorro);1,50%;art. 647 RIR/1999;SIM
04.08.01;terapia ocupacional;Terapêutica ocupacional;1,50%;art. 647 RIR/1999;SIM
04.08.02;fisioterapia;Fisioterapia;1,50%;art. 647 RIR/1999;SIM
04.08.03;fonoaudiologia;Fonoaudiologia;1,50%;art. 647 RIR/1999;SIM
04.10.01;nutrição;Nutricionismo e dietética;1,50%;art. 647 RIR/1999;SIM
04.12.01;odontologia;Odontologia;1,50%;art. 647 RIR/1999;SIM
04.14.01;confecção de próteses;Prótese;1,50%;art. 647 RIR/1999;SIM
